Date,total_cases_cum,total_death_cum,total_cases,total_death,travel_count
2020-01-22,0,0,0.0,0.0,1645196.0
2020-01-23,1,0,1.0,0.0,2136584.0
2020-01-24,2,0,1.0,0.0,2004609.0
2020-01-25,2,0,0.0,0.0,1643435.0
2020-01-26,3,0,1.0,0.0,1777171.0
2020-01-27,3,0,0.0,0.0,2085468.0
2020-01-28,3,0,0.0,0.0,2159047.0
2020-01-29,3,0,0.0,0.0,1658886.0
2020-01-30,3,0,0.0,0.0,1948138.0
2020-01-31,4,0,1.0,0.0,2054725.0
2020-02-01,5,0,1.0,0.0,1677798.0
2020-02-02,8,0,3.0,0.0,1843877.0
2020-02-03,11,0,3.0,0.0,2167857.0
2020-02-04,11,0,0.0,0.0,2271551.0
2020-02-05,11,0,0.0,0.0,1770241.0
2020-02-06,11,0,0.0,0.0,2224826.0
2020-02-07,12,0,1.0,0.0,2164951.0
2020-02-08,12,0,0.0,0.0,1814047.0
2020-02-09,12,0,0.0,0.0,2038375.0
2020-02-10,12,0,0.0,0.0,2415185.0
2020-02-11,12,0,0.0,0.0,2507588.0
2020-02-12,13,0,1.0,0.0,1972248.0
2020-02-13,14,0,1.0,0.0,2198657.0
2020-02-14,14,0,0.0,0.0,2494922.0
2020-02-15,14,0,0.0,0.0,2190300.0
2020-02-16,14,0,0.0,0.0,2129862.0
2020-02-17,16,0,2.0,0.0,2358511.0
2020-02-18,21,0,5.0,0.0,2429489.0
2020-02-19,24,0,3.0,0.0,1951535.0
2020-02-20,25,0,1.0,0.0,2380359.0
2020-02-21,30,0,5.0,0.0,2267382.0
2020-02-22,36,0,6.0,0.0,1919803.0
2020-02-23,36,0,0.0,0.0,2075554.0
2020-02-24,40,0,4.0,0.0,2364727.0
2020-02-25,44,0,4.0,0.0,2441643.0
2020-02-26,52,0,8.0,0.0,1949696.0
2020-02-27,57,1,5.0,1.0,2353150.0
2020-02-28,61,1,4.0,0.0,2089641.0
2020-03-01,88,2,18.0,0.0,1736393.0
2020-03-02,124,8,36.0,6.0,1877401.0
2020-03-03,175,11,51.0,3.0,2130015.0
2020-03-04,245,13,70.0,2.0,2198517.0
2020-03-05,323,16,83.0,3.0,1844811.0
2020-03-06,453,19,130.0,3.0,2119867.0
2020-03-07,599,24,146.0,5.0,1909363.0
2020-03-08,813,28,214.0,4.0,1617220.0
2020-03-09,1203,32,390.0,4.0,1702686.0
2020-03-10,1701,39,498.0,7.0,1788456.0
2020-03-11,2231,51,530.0,12.0,1714372.0
2020-03-12,2965,58,734.0,7.0,1485553.0
2020-03-13,3916,69,951.0,11.0,1519192.0
2020-03-14,5134,82,1218.0,14.0,1257823.0
2020-03-15,7310,101,2176.0,19.0,953699.0
2020-03-16,9656,122,2346.0,21.0,779631.0
2020-03-17,12854,149,3198.0,27.0,620883.0
2020-03-18,17746,213,4892.0,64.0,593167.0
2020-03-19,23867,282,6121.0,69.0,548132.0
2020-03-20,31414,374,7547.0,92.0,454516.0
2020-03-21,40536,486,9122.0,112.0,331431.0
2020-03-22,51367,608,10845.0,122.0,279018.0
2020-03-23,62086,770,10692.0,161.0,239234.0
2020-03-24,73488,982,11402.0,212.0,203858.0
2020-03-25,87571,1283,14083.0,301.0,199644.0
2020-03-26,74532,1184,14026.0,231.0,184027.0
2020-03-27,89859,1527,15327.0,343.0,180002.0
2020-03-28,105578,1859,15719.0,347.0,154080.0
2020-03-29,126710,2268,21132.0,409.0,146348.0
2020-03-30,138483,2570,16576.0,402.0,136023.0
2020-03-31,158247,3189,20060.0,633.0,124021.0
2020-04-01,180716,3916,22196.0,711.0,129763.0
2020-04-02,139093,3828,16830.0,539.0,118302.0
2020-04-03,155773,4425,16762.0,600.0,122029.0
2020-04-04,223052,5599,22240.0,676.0,108310.0
2020-04-05,224759,6655,17121.0,755.0,97130.0
2020-04-06,245675,7477,20874.0,821.0,94931.0
2020-04-07,186098,5664,15992.0,710.0,104090.0
2020-04-08,186335,5821,15447.0,689.0,108977.0
2020-04-09,201432,6470,15097.0,649.0,93645.0
2020-04-10,214483,7097,14563.0,657.0,90510.0
2020-04-11,228188,7705,13835.0,612.0,102184.0
2020-04-12,242029,8172,12595.0,443.0,87534.0
2020-04-13,353729,13577,15423.0,745.0,90784.0
2020-04-14,292400,11668,12472.0,867.0,95085.0
2020-04-15,292868,11989,12893.0,863.0,106385.0
2020-04-16,287166,11032,14506.0,801.0,97236.0
2020-04-17,348115,14979,16874.0,888.0,105382.0
2020-04-18,464867,19272,18099.0,851.0,99344.0
2020-04-19,344568,15685,13150.0,672.0,92859.0
2020-04-20,389253,17528,14323.0,827.0,98968.0
2020-04-21,309950,14289,12296.0,725.0,111627.0
2020-04-22,395853,18362,16929.0,912.0,123464.0
2020-04-23,389823,18745,16797.0,986.0,114459.0
2020-04-24,431640,20204,17870.0,777.0,128875.0
2020-04-25,456735,21477,16209.0,707.0,119854.0
2020-04-26,571497,27341,18040.0,736.0,110913.0
2020-04-27,486074,22823,15307.0,651.0,119629.0
2020-04-28,482055,23113,14227.0,935.0,154695.0
2020-04-29,455204,22125,14834.0,749.0,171563.0
2020-04-30,490336,23982,17700.0,872.0,134261.0
2020-05-01,685817,31877,21514.0,972.0,170254.0
2020-05-02,598314,29006,18837.0,798.0,163692.0
2020-05-03,616380,29722,18066.0,716.0,130601.0
2020-05-04,760366,38228,17226.0,635.0,140409.0
2020-05-05,492316,24021,12644.0,734.0,190863.0
2020-05-06,576887,28654,15528.0,831.0,215444.0
2020-05-07,502720,24464,15167.0,664.0,169580.0
2020-05-08,779853,37021,19990.0,802.0,200815.0
2020-05-09,690987,34151,18209.0,783.0,215645.0
2020-05-10,788413,39957,16699.0,550.0,163205.0
2020-05-11,1061826,53981,17778.0,775.0,176667.0
2020-05-12,695807,35552,15460.0,745.0,234928.0
2020-05-13,834105,41050,14763.0,807.0,250467.0
2020-05-14,1007353,59866,25222.0,1011.0,193340.0
2020-05-15,1145089,66987,22169.0,1037.0,253807.0
2020-05-17,1320185,77708,17819.0,730.0,244176.0
2020-05-18,1409886,82910,21218.0,817.0,190477.0
2020-05-19,1298101,78412,18872.0,859.0,230367.0
2020-05-20,1222243,71987,18698.0,942.0,318449.0
2020-05-21,1371390,82737,20861.0,921.0,348673.0
2020-05-22,1357437,77842,23059.0,900.0,253190.0
2020-05-23,1555480,92439,19417.0,802.0,267451.0
2020-05-24,1683534,100290,21673.0,809.0,340769.0
2020-05-25,1644952,96452,18843.0,613.0,264843.0
2020-05-26,1719024,101789,16847.0,846.0,261170.0
2020-05-27,1454213,85999,17590.0,958.0,321776.0
2020-05-28,1708238,101801,22777.0,1112.0,327133.0
2020-05-29,1564453,88795,21682.0,858.0,268867.0
2020-05-30,1594991,89974,22891.0,734.0,352947.0
2020-05-31,1832139,106914,21310.0,683.0,353261.0
2020-06-01,1850283,107625,17241.0,711.0,267742.0
2020-06-02,1866338,108308,20740.0,930.0,304436.0
2020-06-03,1719885,97326,20447.0,907.0,391882.0
2020-06-04,1912768,110468,20658.0,893.0,419675.0
2020-06-05,1895454,109380,23370.0,794.0,353016.0
2020-06-06,1961185,112011,23704.0,707.0,441255.0
2020-06-07,1969603,112108,17687.0,580.0,430414.0
2020-06-08,1857840,106884,16647.0,590.0,338382.0
2020-06-09,2015587,114223,18575.0,844.0,386969.0
2020-06-10,2036861,115074,22244.0,868.0,502209.0
2020-06-11,2044600,115774,22753.0,877.0,519304.0
2020-06-12,2089232,116717,28391.0,745.0,437119.0
2020-06-13,1948457,104812,25957.0,584.0,544046.0
2020-06-14,2136158,117889,20515.0,505.0,534528.0
2020-06-15,2156832,118426,20674.0,537.0,417924.0
2020-06-16,2181612,119095,24780.0,688.0,441829.0
2020-06-17,2207477,119773,25865.0,683.0,576514.0
2020-06-18,2236123,120428,28646.0,655.0,587908.0
2020-06-19,2268177,121152,33317.0,742.0,507129.0
2020-06-20,2302673,121744,33323.0,573.0,590456.0
2020-06-21,2329919,122162,27246.0,418.0,607540.0
2020-06-22,2347878,122154,28728.0,427.0,471421.0
2020-06-23,2396578,123395,37882.0,737.0,494826.0
2020-06-24,2433815,124086,37237.0,691.0,623624.0
2020-06-25,2309935,111758,46691.0,667.0,632984.0
2020-06-26,2524126,127249,46520.0,697.0,546310.0
2020-06-27,2567533,127834,43407.0,585.0,633810.0
2020-06-28,2608538,128350,37550.0,440.0,625235.0
2020-06-29,2647230,128825,38692.0,475.0,500054.0
2020-06-30,2693889,129465,46659.0,647.0,626516.0
2020-07-01,2753208,130247,59319.0,782.0,764761.0
2020-07-02,2808791,130951,55583.0,704.0,718988.0
2020-07-03,2858459,131561,59918.0,789.0,466669.0
2020-07-04,2907615,132133,49156.0,573.0,732123.0
2020-07-05,2958817,132761,40053.0,455.0,755555.0
2020-07-06,3009933,133388,51116.0,638.0,641761.0
2020-07-07,2961032,132384,52567.0,807.0,632498.0
2020-07-08,2954188,119957,64882.0,947.0,709653.0
2020-07-09,3193549,136353,62282.0,956.0,711124.0
2020-07-10,3262022,137305,68473.0,952.0,656284.0
2020-07-11,3329660,138192,67638.0,887.0,754545.0
2020-07-12,3389436,139027,59776.0,848.0,697985.0
2020-07-13,3384053,138076,53678.0,771.0,540268.0
2020-07-14,3508662,140665,64895.0,923.0,589285.0
2020-07-15,3580973,141781,72179.0,1124.0,706164.0
2020-07-16,3650762,142872,69858.0,1080.0,720378.0
2020-07-17,3729882,143988,77094.0,1092.0,646654.0
2020-07-18,3655921,142253,64562.0,860.0,747422.0
2020-07-19,3765589,142372,56964.0,898.0,695330.0
2020-07-20,3797696,142916,54072.0,843.0,530421.0
2020-07-21,3828592,145037,60081.0,1050.0,570951.0
2020-07-22,4051662,149168,72415.0,1224.0,704815.0
2020-07-23,4125736,150437,73738.0,1262.0,724770.0
2020-07-24,4184783,151197,73330.0,1289.0,649027.0
2020-07-25,4100519,149631,57722.0,1000.0,751205.0
2020-07-26,4211511,150105,54639.0,903.0,700043.0
2020-07-27,4372691,154821,53606.0,954.0,536756.0
2020-07-28,4428832,155971,59036.0,1182.0,573200.0
2020-07-29,4496656,157173,64850.0,1195.0,718310.0
2020-07-30,4392611,154968,64278.0,1249.0,767320.0
2020-07-31,4632178,159983,68718.0,1389.0,709033.0
2020-08-01,4688712,161108,56534.0,1125.0,799861.0
2020-08-02,4620437,158018,48005.0,859.0,737235.0
2020-08-03,4755853,162556,45172.0,870.0,543601.0
2020-08-04,4713087,159953,48276.0,1062.0,595739.0
2020-08-05,4893149,165261,56082.0,1280.0,743599.0
2020-08-06,4948464,166474,54814.0,1204.0,762547.0
2020-08-07,5007718,167765,62212.0,1318.0,683212.0
2020-08-08,5062358,168836,51640.0,1043.0,831789.0
2020-08-09,5108947,169732,46589.0,896.0,761861.0
2020-08-10,5121476,170168,43175.0,816.0,559420.0
2020-08-11,5208553,171614,58965.0,1096.0,590749.0
2020-08-12,5073642,168608,54104.0,1194.0,761821.0
2020-08-13,5315720,174156,52016.0,1201.0,783744.0
2020-08-14,5337715,174812,54698.0,1055.0,689895.0
2020-08-15,5427389,176202,52110.0,942.0,862949.0
2020-08-16,5330882,172581,40732.0,815.0,773319.0
2020-08-17,5468439,177260,40810.0,647.0,565946.0
2020-08-18,5549528,178654,41669.0,941.0,586718.0
2020-08-19,5600026,179970,47081.0,1280.0,772380.0
2020-08-20,5645212,180950,46613.0,994.0,764468.0
2020-08-21,5690218,181943,47707.0,1022.0,625822.0
2020-08-22,5736434,182988,41760.0,998.0,841806.0
2020-08-23,5771682,183815,36947.0,843.0,726788.0
2020-08-24,5769400,184001,34574.0,605.0,523186.0
2020-08-25,5849550,185322,40765.0,888.0,540043.0
2020-08-26,5856700,185966,45505.0,1102.0,721060.0
2020-08-27,5871228,186108,43145.0,935.0,738873.0
2020-08-28,5948513,187931,45859.0,1030.0,591734.0
2020-08-29,6033015,189218,41049.0,820.0,807695.0
2020-08-30,6068331,189935,36603.0,727.0,711178.0
2020-08-31,6055125,189986,37419.0,572.0,516068.0
2020-09-01,6135193,191272,38712.0,849.0,578131.0
2020-09-02,6146594,191790,42633.0,862.0,877698.0
2020-09-03,6234767,193184,45377.0,951.0,968673.0
2020-09-04,6238029,193605,49991.0,904.0,664640.0
2020-09-05,6329377,194914,41687.0,788.0,689630.0
2020-09-06,6364272,195625,33714.0,694.0,935308.0
2020-09-07,6341246,195542,23384.0,417.0,704075.0
2020-09-08,6416273,196602,28541.0,571.0,616923.0
2020-09-09,6414500,197019,34812.0,824.0,755051.0
2020-09-10,6490300,198284,38852.0,844.0,731353.0
2020-09-11,6535327,199168,44365.0,879.0,613703.0
2020-09-12,6576812,199838,40274.0,652.0,809850.0
2020-09-13,6302183,194140,31527.0,589.0,729558.0
2020-09-14,6143732,191240,30715.0,419.0,522383.0
2020-09-15,6660050,201220,36782.0,750.0,577847.0
2020-09-16,6601361,201147,42918.0,899.0,784746.0
