date,MT_total_cases_cum,MT_total_death_cum,MT_total_cases,MT_total_death,MN_total_cases_cum,MN_total_death_cum,MN_total_cases,MN_total_death
2020-01-22,0,0,0.0,0.0,0,0,0.0,0.0
2020-01-23,0,0,0.0,0.0,0,0,0.0,0.0
2020-01-24,0,0,0.0,0.0,0,0,0.0,0.0
2020-01-25,0,0,0.0,0.0,0,0,0.0,0.0
2020-01-26,0,0,0.0,0.0,0,0,0.0,0.0
2020-01-27,0,0,0.0,0.0,0,0,0.0,0.0
2020-01-28,0,0,0.0,0.0,0,0,0.0,0.0
2020-01-29,0,0,0.0,0.0,0,0,0.0,0.0
2020-01-30,0,0,0.0,0.0,0,0,0.0,0.0
2020-01-31,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-01,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-02,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-03,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-04,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-05,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-06,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-07,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-08,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-09,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-10,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-11,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-12,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-13,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-14,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-15,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-16,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-17,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-18,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-19,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-20,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-21,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-22,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-23,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-24,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-25,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-26,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-27,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-28,0,0,0.0,0.0,0,0,0.0,0.0
2020-02-29,0,0,0.0,0.0,0,0,0.0,0.0
2020-03-01,0,0,0.0,0.0,0,0,0.0,0.0
2020-03-02,0,0,0.0,0.0,0,0,0.0,0.0
2020-03-03,0,0,0.0,0.0,0,0,0.0,0.0
2020-03-04,0,0,0.0,0.0,0,0,0.0,0.0
2020-03-05,0,0,0.0,0.0,0,0,0.0,0.0
2020-03-06,0,0,0.0,0.0,1,0,1.0,0.0
2020-03-07,0,0,0.0,0.0,1,0,0.0,0.0
2020-03-08,0,0,0.0,0.0,2,0,1.0,0.0
2020-03-09,0,0,0.0,0.0,2,0,0.0,0.0
2020-03-10,0,0,0.0,0.0,4,0,2.0,0.0
2020-03-11,1,0,1.0,0.0,5,0,1.0,0.0
2020-03-12,1,0,0.0,0.0,10,0,5.0,0.0
2020-03-13,1,0,0.0,0.0,14,0,4.0,0.0
2020-03-14,1,0,0.0,0.0,14,0,0.0,0.0
2020-03-15,7,0,6.0,0.0,54,0,40.0,0.0
2020-03-16,7,0,0.0,0.0,60,0,6.0,0.0
2020-03-17,11,0,4.0,0.0,77,0,17.0,0.0
2020-03-18,12,0,1.0,0.0,89,0,12.0,0.0
2020-03-19,15,0,3.0,0.0,115,0,26.0,0.0
2020-03-20,21,0,6.0,0.0,115,0,0.0,0.0
2020-03-21,27,0,6.0,0.0,137,1,22.0,1.0
2020-03-22,34,0,7.0,0.0,236,1,99.0,0.0
2020-03-23,37,0,3.0,0.0,262,1,26.0,0.0
2020-03-24,48,0,11.0,0.0,287,1,25.0,0.0
2020-03-25,65,0,17.0,0.0,346,2,59.0,1.0
2020-03-26,90,1,25.0,1.0,399,4,53.0,2.0
2020-03-27,121,1,31.0,0.0,399,4,0.0,0.0
2020-03-28,147,1,26.0,0.0,441,5,42.0,1.0
2020-03-29,173,2,26.0,1.0,576,10,135.0,5.0
2020-03-30,184,4,11.0,2.0,576,10,0.0,0.0
2020-03-31,203,5,19.0,1.0,689,17,113.0,7.0
2020-04-01,228,5,25.0,0.0,742,18,53.0,1.0
2020-04-02,244,5,16.0,0.0,789,22,47.0,4.0
2020-04-03,262,5,18.0,0.0,789,22,0.0,0.0
2020-04-04,281,6,19.0,1.0,865,24,76.0,2.0
2020-04-05,300,6,19.0,0.0,986,29,121.0,5.0
2020-04-06,320,6,20.0,0.0,1069,34,83.0,5.0
2020-04-07,332,6,12.0,0.0,1154,39,85.0,5.0
2020-04-08,352,6,20.0,0.0,1242,50,88.0,11.0
2020-04-09,365,6,13.0,0.0,1336,57,94.0,7.0
2020-04-10,365,6,0.0,0.0,1336,57,0.0,0.0
2020-04-11,377,6,12.0,0.0,1514,67,178.0,10.0
2020-04-12,394,6,17.0,0.0,1621,70,107.0,3.0
2020-04-13,398,7,4.0,1.0,1695,79,74.0,9.0
2020-04-14,404,7,6.0,0.0,1809,87,114.0,8.0
2020-04-15,415,7,11.0,0.0,1862,90,53.0,3.0
2020-04-16,422,8,7.0,1.0,2013,101,151.0,11.0
2020-04-17,422,8,0.0,0.0,2174,115,161.0,14.0
2020-04-18,426,10,4.0,2.0,2213,121,39.0,6.0
2020-04-19,433,10,7.0,0.0,2470,143,257.0,22.0
2020-04-20,437,12,4.0,2.0,2567,160,97.0,17.0
2020-04-21,439,13,2.0,1.0,2721,179,154.0,19.0
2020-04-22,442,14,3.0,1.0,2721,179,0.0,0.0
2020-04-24,444,14,0.0,0.0,3185,221,0.0,0.0
2020-04-25,445,14,1.0,0.0,3446,244,261.0,23.0
2020-04-26,449,14,4.0,0.0,3602,272,156.0,28.0
2020-04-27,451,16,2.0,2.0,4181,301,579.0,29.0
2020-04-28,451,15,0.0,-1.0,4645,319,464.0,18.0
2020-04-29,451,16,0.0,1.0,5136,343,491.0,24.0
2020-04-30,453,16,2.0,0.0,5136,343,0.0,0.0
2020-05-01,453,16,0.0,0.0,5730,371,594.0,28.0
2020-05-02,455,16,2.0,0.0,6228,395,498.0,24.0
2020-05-03,457,16,2.0,0.0,7238,428,1010.0,33.0
2020-05-04,457,16,0.0,0.0,7234,428,-4.0,0.0
2020-05-05,456,16,-1.0,0.0,7851,455,617.0,27.0
2020-05-06,456,16,0.0,0.0,8579,485,728.0,30.0
2020-05-08,458,16,-1.0,0.0,10088,534,0.0,0.0
2020-05-10,458,16,0.0,0.0,11271,578,0.0,0.0
2020-05-11,459,16,1.0,0.0,11799,591,528.0,13.0
2020-05-13,462,16,3.0,0.0,12917,638,0.0,-8.0
2020-05-15,466,16,0.0,0.0,14240,692,0.0,1.0
2020-05-16,468,16,2.0,0.0,15668,730,1428.0,38.0
2020-05-17,470,16,2.0,0.0,16372,739,704.0,9.0
2020-05-18,470,16,0.0,0.0,17029,757,657.0,18.0
2020-05-19,478,16,8.0,0.0,17670,786,641.0,29.0
2020-05-20,478,16,0.0,0.0,17670,786,0.0,0.0
2020-05-22,479,16,0.0,0.0,19845,861,840.0,10.0
2020-05-23,479,16,0.0,0.0,19845,861,0.0,0.0
2020-05-24,479,16,0.0,0.0,20573,878,728.0,17.0
2020-05-25,479,16,0.0,0.0,21960,908,1387.0,30.0
2020-05-26,479,17,0.0,1.0,22464,908,504.0,0.0
2020-05-27,485,17,6.0,0.0,22464,942,0.0,34.0
2020-05-29,505,17,12.0,0.0,23531,1006,0.0,0.0
2020-05-31,515,17,10.0,0.0,25208,1060,358.0,10.0
2020-06-01,523,17,8.0,0.0,25208,1060,0.0,0.0
2020-06-02,525,17,2.0,0.0,25508,1082,300.0,22.0
2020-06-03,539,17,14.0,0.0,25870,1097,362.0,15.0
2020-06-04,539,17,0.0,0.0,26273,1126,403.0,29.0
2020-06-06,540,18,0.0,0.0,27886,1197,385.0,16.0
2020-06-07,548,18,8.0,0.0,28224,1208,338.0,11.0
2020-06-08,548,18,0.0,0.0,28523,1228,299.0,20.0
2020-06-09,554,18,6.0,0.0,28869,1267,346.0,39.0
2020-06-10,561,18,7.0,0.0,29316,1280,447.0,13.0
2020-06-11,573,18,12.0,0.0,29316,1280,0.0,0.0
2020-06-12,588,18,15.0,0.0,29795,1305,479.0,25.0
2020-06-13,588,18,0.0,0.0,30172,1314,377.0,9.0
2020-06-14,609,19,21.0,1.0,30693,1335,521.0,21.0
2020-06-15,612,19,3.0,0.0,30882,1344,189.0,9.0
2020-06-16,630,20,18.0,1.0,31296,1357,414.0,13.0
2020-06-17,630,20,0.0,0.0,31296,1357,0.0,0.0
2020-06-18,666,20,36.0,0.0,31675,1376,379.0,19.0
2020-06-19,698,20,32.0,0.0,32467,1406,792.0,30.0
2020-06-20,716,20,18.0,0.0,32920,1412,453.0,6.0
2020-06-21,717,20,1.0,0.0,33227,1416,307.0,4.0
2020-06-22,734,21,17.0,1.0,33469,1425,242.0,9.0
2020-06-23,766,21,32.0,0.0,33763,1432,294.0,7.0
2020-06-24,803,21,37.0,0.0,33763,1432,0.0,0.0
2020-06-25,829,22,26.0,1.0,34616,1446,853.0,14.0
2020-06-26,852,22,23.0,0.0,34616,1446,0.0,0.0
2020-06-27,852,22,0.0,0.0,35549,1460,933.0,14.0
2020-06-28,919,22,67.0,0.0,35546,1470,-3.0,10.0
2020-06-29,967,22,48.0,0.0,35861,1470,315.0,0.0
2020-06-30,1018,22,51.0,0.0,36716,1482,855.0,12.0
2020-07-01,1083,22,65.0,0.0,37210,1495,494.0,13.0
2020-07-02,1123,23,40.0,1.0,37624,1503,414.0,8.0
2020-07-03,1128,23,5.0,0.0,37624,1503,0.0,0.0
2020-07-04,1167,23,39.0,0.0,38136,1508,512.0,5.0
2020-07-05,1249,23,82.0,0.0,38569,1511,433.0,3.0
2020-07-06,1249,23,0.0,0.0,39133,1514,564.0,3.0
2020-07-07,1371,23,122.0,0.0,39133,1514,0.0,0.0
2020-07-08,1466,25,95.0,2.0,40136,1528,1003.0,14.0
2020-07-09,1569,27,103.0,2.0,40767,1533,631.0,5.0
2020-07-10,1593,28,24.0,1.0,41571,1537,804.0,4.0
2020-07-11,1677,29,84.0,1.0,41571,1537,0.0,0.0
2020-07-12,1841,31,164.0,2.0,42772,1542,1201.0,5.0
2020-07-13,1843,32,2.0,1.0,43170,1548,398.0,6.0
2020-07-14,1952,34,109.0,2.0,43170,1548,0.0,0.0
2020-07-15,2218,34,266.0,0.0,44347,1564,1177.0,16.0
2020-07-16,2342,37,124.0,3.0,45013,1573,666.0,9.0
2020-07-17,2366,37,24.0,0.0,45470,1578,457.0,5.0
2020-07-18,2471,37,105.0,0.0,46204,1581,734.0,3.0
2020-07-19,2533,37,62.0,0.0,46204,1581,0.0,0.0
2020-07-20,2621,39,88.0,2.0,47457,1588,1253.0,7.0
