date,state,total_cases_cum,total_death_cum,total_cases,total_death
2020-01-22,AK,0,0,0.0,0.0
2020-01-23,AK,0,0,0.0,0.0
2020-01-24,AK,0,0,0.0,0.0
2020-01-25,AK,0,0,0.0,0.0
2020-01-26,AK,0,0,0.0,0.0
2020-01-27,AK,0,0,0.0,0.0
2020-01-28,AK,0,0,0.0,0.0
2020-01-29,AK,0,0,0.0,0.0
2020-01-30,AK,0,0,0.0,0.0
2020-01-31,AK,0,0,0.0,0.0
2020-02-01,AK,0,0,0.0,0.0
2020-02-02,AK,0,0,0.0,0.0
2020-02-03,AK,0,0,0.0,0.0
2020-02-04,AK,0,0,0.0,0.0
2020-02-05,AK,0,0,0.0,0.0
2020-02-06,AK,0,0,0.0,0.0
2020-02-07,AK,0,0,0.0,0.0
2020-02-08,AK,0,0,0.0,0.0
2020-02-09,AK,0,0,0.0,0.0
2020-02-10,AK,0,0,0.0,0.0
2020-02-11,AK,0,0,0.0,0.0
2020-02-12,AK,0,0,0.0,0.0
2020-02-13,AK,0,0,0.0,0.0
2020-02-14,AK,0,0,0.0,0.0
2020-02-15,AK,0,0,0.0,0.0
2020-02-16,AK,0,0,0.0,0.0
2020-02-17,AK,0,0,0.0,0.0
2020-02-18,AK,0,0,0.0,0.0
2020-02-19,AK,0,0,0.0,0.0
2020-02-20,AK,0,0,0.0,0.0
2020-02-21,AK,0,0,0.0,0.0
2020-02-22,AK,0,0,0.0,0.0
2020-02-23,AK,0,0,0.0,0.0
2020-02-24,AK,0,0,0.0,0.0
2020-02-25,AK,0,0,0.0,0.0
2020-02-26,AK,0,0,0.0,0.0
2020-02-27,AK,0,0,0.0,0.0
2020-02-28,AK,0,0,0.0,0.0
2020-02-29,AK,0,0,0.0,0.0
2020-03-01,AK,0,0,0.0,0.0
2020-03-02,AK,0,0,0.0,0.0
2020-03-03,AK,0,0,0.0,0.0
2020-03-04,AK,0,0,0.0,0.0
2020-03-05,AK,0,0,0.0,0.0
2020-03-06,AK,0,0,0.0,0.0
2020-03-07,AK,0,0,0.0,0.0
2020-03-08,AK,0,0,0.0,0.0
2020-03-09,AK,0,0,0.0,0.0
2020-03-10,AK,0,0,0.0,0.0
2020-03-11,AK,0,0,0.0,0.0
2020-03-12,AK,0,0,0.0,0.0
2020-03-13,AK,1,0,1.0,0.0
2020-03-14,AK,1,0,0.0,0.0
2020-03-15,AK,1,0,0.0,0.0
2020-03-16,AK,1,0,0.0,0.0
2020-03-17,AK,3,1,2.0,1.0
2020-03-18,AK,8,1,5.0,0.0
2020-03-19,AK,11,1,3.0,0.0
2020-03-20,AK,14,1,3.0,0.0
2020-03-21,AK,15,1,1.0,0.0
2020-03-22,AK,25,1,10.0,0.0
2020-03-23,AK,38,1,13.0,0.0
2020-03-24,AK,42,1,4.0,0.0
2020-03-25,AK,49,1,7.0,0.0
2020-03-26,AK,63,3,14.0,2.0
2020-03-27,AK,74,3,11.0,0.0
2020-03-28,AK,91,4,17.0,1.0
2020-03-29,AK,110,5,19.0,1.0
2020-03-30,AK,118,6,8.0,1.0
2020-03-31,AK,128,6,10.0,0.0
2020-04-01,AK,141,6,13.0,0.0
2020-04-02,AK,149,6,8.0,0.0
2020-04-03,AK,160,6,11.0,0.0
2020-04-04,AK,171,6,11.0,0.0
2020-04-05,AK,185,7,14.0,1.0
2020-04-06,AK,191,7,6.0,0.0
2020-04-07,AK,213,7,22.0,0.0
2020-04-08,AK,226,8,13.0,1.0
2020-04-09,AK,235,9,9.0,1.0
2020-04-10,AK,246,9,11.0,0.0
2020-04-11,AK,257,9,11.0,0.0
2020-04-12,AK,272,9,15.0,0.0
2020-04-13,AK,277,9,5.0,0.0
2020-04-14,AK,285,9,8.0,0.0
2020-04-15,AK,293,9,8.0,0.0
