Date,total_cases,total_death,Distributed,travel_count
2020-12-13,181595.0,2046.0,27300,752451.0
2020-12-14,198278.0,2017.0,937950,552024.0
2020-12-15,200653.0,2765.0,1951950,641966.0
2020-12-16,241831.0,3395.0,395850,846934.0
2020-12-17,247196.0,3347.0,2382900,1066747.0
2020-12-18,237245.0,2989.0,0,1073563.0
2020-12-19,203062.0,2685.0,0,1064619.0
2020-12-20,187621.0,2091.0,4550,954782.0
2020-12-21,183813.0,2190.0,2877550,992167.0
2020-12-22,199090.0,2918.0,6355300,1191123.0
2020-12-23,226944.0,3209.0,5527150,846520.0
2020-12-24,202805.0,3033.0,175600,616469.0
2020-12-25,159648.0,2231.0,0,1128773.0
2020-12-26,150136.0,1649.0,0,1284599.0
2020-12-27,154846.0,1898.0,17800,1111751.0
2020-12-28,178462.0,2240.0,2979400,1019347.0
2020-12-29,209295.0,3361.0,4768300,1163696.0
2020-12-30,237835.0,3772.0,2316550,874406.0
2020-12-31,230235.0,3774.0,1033900,805990.0
2021-01-01,227581.0,3023.0,1950,1192881.0
2021-01-02,227084.0,2369.0,52650,1327289.0
2021-01-03,204783.0,2048.0,2100,1080346.0
2021-01-04,175342.0,2106.0,4765950,766594.0
2021-01-05,243766.0,3491.0,6407350,665855.0
2021-01-06,259541.0,3864.0,1737850,771734.0
2021-01-07,270173.0,3980.0,1136275,772471.0
2021-01-08,293336.0,3772.0,2384225,709444.0
2021-01-09,255942.0,3338.0,54150,886536.0
2021-01-10,224938.0,2564.0,15800,708177.0
2021-01-11,204518.0,2619.0,5012475,520117.0
2021-01-12,218009.0,3602.0,5852300,567401.0
2021-01-13,228255.0,4072.0,3035925,803688.0
2021-01-14,223792.0,3708.0,2965850,903039.0
2021-01-15,240096.0,3406.0,1625450,690438.0
2021-01-16,213335.0,3528.0,140600,810654.0
2021-01-17,184324.0,2578.0,0,878048.0
2021-01-18,151688.0,2287.0,1038175,560190.0
2021-01-19,150536.0,2756.0,9994200,542338.0
2021-01-20,188335.0,3863.0,170325,728978.0
2021-01-21,188592.0,3839.0,4499850,755028.0
2021-01-22,191091.0,3687.0,3917025,603527.0
2021-01-23,165150.0,2988.0,3112400,838116.0
2021-01-24,144425.0,2483.0,20300,701709.0
2021-01-25,134327.0,2129.0,136750,468933.0
2021-01-26,146816.0,3559.0,6331200,536935.0
2021-01-27,159360.0,3981.0,5918425,750558.0
2021-01-28,156400.0,3864.0,2376050,774688.0
2021-01-29,164576.0,3270.0,1679350,617489.0
2021-01-30,137788.0,2770.0,1554575,859039.0
2021-01-31,112561.0,2302.0,10700,628989.0
2021-02-01,128993.0,2279.0,35425,493338.0
2021-02-02,122042.0,2970.0,5561400,618615.0
2021-02-03,108862.0,3318.0,6685375,778065.0
2021-02-04,125414.0,3133.0,3122850,868624.0
2021-02-05,124950.0,3419.0,1790675,705951.0
2021-02-06,108852.0,2775.0,1973400,854636.0
2021-02-07,92011.0,1811.0,14800,864783.0
2021-02-08,82397.0,1699.0,34750,617619.0
2021-02-09,91569.0,2440.0,7387950,735009.0
2021-02-10,99162.0,2830.0,6517875,1034514.0
2021-02-11,99462.0,3246.0,4733475,1151420.0
2021-02-12,97856.0,5086.0,1485300,900696.0
2021-02-13,84895.0,3313.0,1804100,946458.0
2021-02-14,66777.0,1554.0,396150,967693.0
2021-02-15,58383.0,1399.0,157600,738825.0
2021-02-16,57457.0,1431.0,3044150,773422.0
2021-02-17,63942.0,2194.0,1539855,914823.0
2021-02-18,68561.0,2260.0,1938875,1059452.0
2021-02-19,73751.0,2451.0,5560415,942238.0
2021-02-20,66172.0,1897.0,1846270,1115479.0
2021-02-21,55728.0,1546.0,710215,963280.0
2021-02-22,56463.0,1528.0,291050,714725.0
2021-02-23,70417.0,1709.0,14600400,802230.0
2021-02-24,72813.0,2007.0,13731900,1051149.0
2021-02-25,71876.0,2936.0,6487730,1096348.0
2021-02-26,73572.0,1934.0,5374220,917282.0
2021-02-27,68115.0,1613.0,4834280,1190682.0
2021-02-28,52131.0,1263.0,64870,1049692.0
2021-03-01,51338.0,1259.0,40710,744812.0
2021-03-02,54371.0,1513.0,12310180,826924.0
2021-03-03,65994.0,1558.0,9826330,1107534.0
2021-03-04,65517.0,1561.0,6537200,1168734.0
2021-03-05,64221.0,1959.0,9389150,992406.0
2021-03-06,57674.0,1272.0,4711200,1278557.0
2021-03-07,43535.0,913.0,182160,1119303.0
2021-03-08,43385.0,822.0,151400,825745.0
2021-03-09,53814.0,1159.0,14085310,974221.0
2021-03-10,62147.0,1581.0,9863190,1286894.0
2021-03-11,60196.0,1325.0,7002710,1409771.0
2021-03-12,64282.0,1479.0,4915065,1227484.0
2021-03-13,52411.0,976.0,5522140,1345284.0
2021-03-14,47454.0,677.0,21740,1267345.0
2021-03-15,43738.0,699.0,71050,1092548.0
2021-03-16,51977.0,863.0,14411010,1146539.0
2021-03-17,61717.0,1058.0,10284400,1413141.0
2021-03-18,62874.0,930.0,8091720,1477841.0
2021-03-19,62367.0,1186.0,6752080,1373259.0
2021-03-20,58396.0,722.0,5131640,1543136.0
2021-03-21,45397.0,549.0,42650,1360290.0
2021-03-22,48507.0,946.0,102980,1076453.0
2021-03-23,58002.0,753.0,16419520,1164954.0
2021-03-24,68423.0,1123.0,10780830,1444744.0
2021-03-25,65975.0,989.0,10407930,1535156.0
2021-03-26,75232.0,1061.0,8550650,1408198.0
2021-03-27,63442.0,856.0,6346400,1574228.0
2021-03-28,53456.0,617.0,497930,1406234.0
2021-03-29,58443.0,555.0,17980,1130520.0
2021-03-30,61775.0,723.0,17981380,1278113.0
2021-03-31,70965.0,958.0,13244030,1562239.0
2021-04-01,74298.0,817.0,11339020,1580785.0
2021-04-02,71050.0,844.0,9398770,1397958.0
2021-04-03,63911.0,744.0,6763030,1543474.0
