Date,Location,Distributed
2020-12-14,MN,1950
2020-12-15,MN,4875
2020-12-16,MN,0
2020-12-17,MN,39975
2020-12-18,MN,0
2020-12-19,MN,0
2020-12-20,MN,0
2020-12-21,MN,0
2020-12-22,MN,35100
2020-12-23,MN,54200
2020-12-24,MN,0
2020-12-25,MN,0
2020-12-26,MN,0
2020-12-27,MN,0
2020-12-28,MN,2850
2020-12-29,MN,17950
2020-12-31,MN,400
2021-01-01,MN,0
2021-01-02,MN,0
2021-01-03,MN,0
2021-01-04,MN,100
2021-01-05,MN,49425
2021-01-06,MN,39075
2021-01-07,MN,37875
2021-01-08,MN,2900
2021-01-09,MN,0
2021-01-10,MN,0
2021-01-11,MN,5700
2021-01-12,MN,64075
2021-01-13,MN,53100
2021-01-14,MN,10500
2021-01-15,MN,2800
2021-01-16,MN,0
2021-01-17,MN,0
2021-01-18,MN,0
2021-01-19,MN,78775
2021-01-20,MN,-200
2021-01-21,MN,56575
2021-01-22,MN,24750
2021-01-23,MN,3600
2021-01-24,MN,0
2021-01-25,MN,0
2021-01-26,MN,8750
2021-01-28,MN,13900
2021-01-29,MN,32775
2021-01-30,MN,3000
2021-01-31,MN,0
2021-02-01,MN,0
2021-02-02,MN,-13100
2021-02-04,MN,11525
2021-02-05,MN,2900
2021-02-06,MN,15850
2021-02-07,MN,0
2021-02-08,MN,0
2021-02-09,MN,25600
2021-02-10,MN,82375
2021-02-11,MN,62775
2021-02-12,MN,8850
2021-02-13,MN,700
2021-02-14,MN,1800
2021-02-15,MN,2200
2021-02-16,MN,30500
2021-02-17,MN,0
2021-02-18,MN,35200
2021-02-19,MN,69025
2021-02-20,MN,14875
2021-02-21,MN,0
2021-02-22,MN,0
2021-02-23,MN,60900
2021-02-25,MN,27630
2021-02-26,MN,42470
2021-02-27,MN,9400
2021-02-28,MN,0
2021-03-01,MN,0
2021-03-02,MN,53650
2021-03-04,MN,43090
2021-03-06,MN,1700
2021-03-07,MN,0
2021-03-08,MN,0
2021-03-09,MN,57360
2021-03-11,MN,43830
2021-03-12,MN,23080
2021-03-13,MN,29180
2021-03-14,MN,0
2021-03-15,MN,0
2021-03-18,MN,33200
2021-03-19,MN,19010
2021-03-20,MN,5180
2021-03-21,MN,0
2021-03-22,MN,0
2021-03-25,MN,36080
2021-03-26,MN,51530
2021-03-27,MN,4780
2021-03-28,MN,0
2021-03-29,MN,0
2021-04-01,MN,79120
2021-04-02,MN,40160
2021-04-03,MN,42720
2021-04-04,MN,0
2021-04-05,MN,0
2021-04-08,MN,34160
2021-04-09,MN,38150
2021-04-10,MN,25840
2021-04-11,MN,0
2021-04-12,MN,0
2021-04-15,MN,77010
2021-04-16,MN,34270
2021-04-17,MN,49720
2021-04-18,MN,0
2021-04-19,MN,0
2021-04-22,MN,58150
2021-04-23,MN,34500
2021-04-24,MN,34020
2021-04-25,MN,0
2021-04-26,MN,0
2021-04-29,MN,20550
2021-04-30,MN,42450
2021-05-01,MN,57260
2021-05-02,MN,0
2021-05-03,MN,0
2021-05-05,MN,81240
2021-05-06,MN,19900
2021-05-07,MN,33530
2021-05-08,MN,37160
2021-05-09,MN,0
2021-05-10,MN,0
2021-05-13,MN,35390
2021-05-14,MN,43390
2021-05-15,MN,39060
2021-05-16,MN,0
2021-05-17,MN,0
2021-05-19,MN,74690
2021-05-20,MN,21780
2021-05-21,MN,59250
2021-05-22,MN,39910
2021-05-23,MN,0
2021-05-24,MN,0
2021-05-25,MN,83380
2021-05-26,MN,25020
2021-05-27,MN,11920
2021-05-28,MN,12820
2021-05-29,MN,82270
2021-05-30,MN,0
2021-05-31,MN,0
2021-06-01,MN,0
2021-06-02,MN,29250
2021-06-03,MN,26430
2021-06-04,MN,4200
2021-06-05,MN,29860
2021-06-06,MN,0
2021-06-07,MN,0
2021-06-08,MN,32300
2021-06-09,MN,1550
2021-06-10,MN,200
2021-06-11,MN,7020
2021-06-12,MN,16930
2021-06-13,MN,0
2021-06-14,MN,0
2021-06-15,MN,8300
2021-06-16,MN,1610
2021-06-17,MN,10110
2021-06-18,MN,8140
2021-06-19,MN,12780
2021-06-20,MN,0
2021-06-21,MN,0
2021-06-22,MN,4110
2021-06-23,MN,2670
2021-06-24,MN,2630
2021-06-25,MN,16720
2021-06-26,MN,6620
2021-06-27,MN,0
2021-06-28,MN,0
2021-06-29,MN,9240
2021-06-30,MN,640
2021-07-01,MN,880
2021-07-02,MN,7900
2021-07-03,MN,4520
2021-07-04,MN,0
2021-07-05,MN,0
2021-07-06,MN,0
