Date,Location,Distributed
2020-12-14,MT,1950
2020-12-15,MT,7800
2020-12-16,MT,0
2020-12-17,MT,0
2020-12-18,MT,0
2020-12-19,MT,0
2020-12-20,MT,0
2020-12-21,MT,2800
2020-12-22,MT,6825
2020-12-24,MT,0
2020-12-25,MT,0
2020-12-26,MT,0
2020-12-27,MT,0
2020-12-28,MT,0
2020-12-29,MT,7350
2020-12-30,MT,4900
2020-12-31,MT,0
2021-01-01,MT,0
2021-01-02,MT,0
2021-01-03,MT,0
2021-01-05,MT,6200
2021-01-06,MT,2925
2021-01-07,MT,0
2021-01-08,MT,2925
2021-01-09,MT,0
2021-01-10,MT,0
2021-01-11,MT,0
2021-01-12,MT,6400
2021-01-13,MT,0
2021-01-15,MT,1950
2021-01-16,MT,0
2021-01-17,MT,0
2021-01-18,MT,0
2021-01-20,MT,-400
2021-01-21,MT,500
2021-01-22,MT,7375
2021-01-23,MT,0
2021-01-24,MT,0
2021-01-25,MT,0
2021-01-26,MT,0
2021-01-28,MT,5700
2021-01-29,MT,2925
2021-01-30,MT,0
2021-01-31,MT,0
2021-02-01,MT,0
2021-02-02,MT,0
2021-02-04,MT,6400
2021-02-05,MT,0
2021-02-06,MT,0
2021-02-07,MT,0
2021-02-08,MT,0
2021-02-09,MT,975
2021-02-11,MT,0
2021-02-12,MT,2200
2021-02-13,MT,5500
2021-02-14,MT,0
2021-02-15,MT,600
2021-02-16,MT,6825
2021-02-17,MT,0
2021-02-18,MT,975
2021-02-20,MT,8420
2021-02-21,MT,0
2021-02-22,MT,0
2021-02-23,MT,1170
2021-02-25,MT,5200
2021-02-26,MT,12900
2021-02-28,MT,0
2021-03-01,MT,0
2021-03-02,MT,500
2021-03-06,MT,7020
2021-03-07,MT,0
2021-03-08,MT,0
2021-03-09,MT,3240
2021-03-11,MT,3800
2021-03-14,MT,0
2021-03-15,MT,0
2021-03-16,MT,2370
2021-03-19,MT,6950
2021-03-21,MT,0
2021-03-22,MT,0
2021-03-23,MT,5640
2021-03-26,MT,8850
2021-03-28,MT,0
2021-03-29,MT,0
2021-03-30,MT,12080
2021-04-02,MT,7580
2021-04-04,MT,0
2021-04-05,MT,0
2021-04-08,MT,8100
2021-04-11,MT,0
2021-04-12,MT,0
2021-04-13,MT,5640
2021-04-15,MT,3700
2021-04-18,MT,0
2021-04-19,MT,0
2021-04-20,MT,7520
2021-04-22,MT,12900
2021-04-23,MT,4710
2021-04-25,MT,0
2021-04-26,MT,0
2021-04-27,MT,1370
2021-04-28,MT,10680
2021-04-29,MT,8000
2021-04-30,MT,4740
2021-05-01,MT,11330
2021-05-02,MT,0
2021-05-03,MT,0
2021-05-04,MT,3770
2021-05-05,MT,3140
2021-05-06,MT,6420
2021-05-07,MT,2750
2021-05-08,MT,8640
2021-05-09,MT,0
2021-05-10,MT,0
2021-05-11,MT,5070
2021-05-12,MT,7020
2021-05-13,MT,3740
2021-05-14,MT,1670
2021-05-15,MT,7050
2021-05-16,MT,0
2021-05-17,MT,0
2021-05-18,MT,300
2021-05-19,MT,8330
2021-05-20,MT,4800
2021-05-21,MT,2030
2021-05-22,MT,4040
2021-05-23,MT,0
2021-05-24,MT,0
2021-05-25,MT,700
2021-05-26,MT,4580
2021-05-27,MT,3700
2021-05-28,MT,3610
2021-05-29,MT,4080
2021-05-30,MT,0
2021-05-31,MT,0
2021-06-01,MT,0
2021-06-02,MT,2340
2021-06-03,MT,1300
2021-06-04,MT,2020
2021-06-05,MT,2210
2021-06-06,MT,0
2021-06-07,MT,0
2021-06-08,MT,300
2021-06-09,MT,500
2021-06-10,MT,300
2021-06-11,MT,1120
2021-06-12,MT,0
2021-06-13,MT,0
2021-06-14,MT,0
2021-06-15,MT,400
2021-06-16,MT,0
2021-06-17,MT,3070
2021-06-18,MT,0
2021-06-19,MT,3420
2021-06-20,MT,0
2021-06-21,MT,0
2021-06-22,MT,0
2021-06-23,MT,280
2021-06-24,MT,620
2021-06-25,MT,3160
2021-06-26,MT,3180
2021-06-27,MT,0
2021-06-28,MT,0
2021-06-29,MT,0
2021-06-30,MT,0
2021-07-01,MT,140
2021-07-02,MT,1720
2021-07-03,MT,1300
2021-07-04,MT,0
2021-07-05,MT,0
2021-07-06,MT,0
2021-07-07,MT,0
2021-07-08,MT,4860
2021-07-09,MT,2670
2021-07-10,MT,1000
2021-07-11,MT,0
2021-07-12,MT,0
2021-07-13,MT,0
2021-07-14,MT,850
2021-07-15,MT,990
2021-07-16,MT,650
2021-07-17,MT,950
2021-07-18,MT,0
2021-07-19,MT,0
2021-07-20,MT,550
2021-07-21,MT,590
2021-07-22,MT,790
2021-07-23,MT,2110
2021-07-24,MT,1050
2021-07-25,MT,0
2021-07-26,MT,0
2021-07-27,MT,0
2021-07-28,MT,890
2021-07-29,MT,3180
2021-07-30,MT,930
2021-07-31,MT,2780
2021-08-01,MT,0
2021-08-02,MT,0
2021-08-03,MT,0
2021-08-04,MT,1430
2021-08-05,MT,2300
2021-08-06,MT,3590
2021-08-07,MT,2700
2021-08-08,MT,0
2021-08-09,MT,0
2021-08-10,MT,2440
2021-08-11,MT,560
2021-08-12,MT,5620
2021-08-13,MT,6800
2021-08-14,MT,2440
2021-08-15,MT,450
2021-08-16,MT,0
2021-08-17,MT,3820
2021-08-18,MT,2610
2021-08-19,MT,5810
2021-08-21,MT,11270
2021-08-22,MT,0
2021-08-23,MT,0
2021-08-24,MT,0
2021-08-25,MT,2610
2021-08-26,MT,11600
2021-08-27,MT,7980
2021-08-28,MT,6450
2021-08-29,MT,560
2021-08-30,MT,0
2021-08-31,MT,12520
2021-09-01,MT,1890
2021-09-02,MT,4750
2021-09-03,MT,5070
2021-09-04,MT,2840
2021-09-05,MT,-100
2021-09-06,MT,0
2021-09-07,MT,0
2021-09-08,MT,0
2021-09-09,MT,1440
2021-09-10,MT,5140
2021-09-11,MT,3510
2021-09-12,MT,0
2021-09-13,MT,0
2021-09-14,MT,500
2021-09-15,MT,5680
2021-09-16,MT,7550
2021-09-17,MT,7140
2021-09-18,MT,2270
2021-09-19,MT,0
2021-09-20,MT,0
2021-09-21,MT,1470
2021-09-22,MT,4880
2021-09-23,MT,1820
2021-09-24,MT,8170
2021-09-25,MT,6460
2021-09-26,MT,140
2021-09-27,MT,0
2021-09-28,MT,5440
2021-09-29,MT,2920
2021-09-30,MT,1740
2021-10-01,MT,12620
2021-10-02,MT,8060
2021-10-03,MT,7350
2021-10-04,MT,0
2021-10-05,MT,3750
2021-10-06,MT,3990
2021-10-07,MT,3510
2021-10-08,MT,9940
2021-10-09,MT,3950
2021-10-10,MT,0
2021-10-11,MT,0
2021-10-12,MT,3510
2021-10-13,MT,7180
2021-10-14,MT,3780
2021-10-15,MT,4870
2021-10-16,MT,2190
2021-10-17,MT,-140
2021-10-18,MT,-1270
2021-10-19,MT,1720
2021-10-20,MT,6920
2021-10-21,MT,8050
2021-10-22,MT,3420
2021-10-23,MT,7420
2021-10-24,MT,0
2021-10-25,MT,0
2021-10-26,MT,2210
2021-10-27,MT,8790
2021-10-30,MT,9790
2021-10-31,MT,970
2021-11-01,MT,-200
2021-11-05,MT,6820
2021-11-06,MT,3200
2021-11-07,MT,1820
2021-11-08,MT,0
2021-11-09,MT,6500
2021-11-10,MT,12330
2021-11-11,MT,9200
2021-11-13,MT,5790
2021-11-14,MT,0
2021-11-15,MT,-300
2021-11-16,MT,3300
2021-11-17,MT,4850
2021-11-18,MT,4670
2021-11-19,MT,7190
2021-11-20,MT,6580
2021-11-21,MT,-240
2021-11-22,MT,-200
2021-11-23,MT,800
2021-11-24,MT,7960
2021-11-25,MT,0
2021-11-26,MT,0
2021-11-27,MT,0
2021-11-28,MT,0
2021-11-29,MT,-1680
2021-12-01,MT,8360
